id	data
27049	1.968436248
27053	0
27059	0
27061	4.817204438
27063	5.009947798
27065	0
27067	3.788309812
27071	5.122572673
27075	0
27079	0
27081	5.721570739
27083	4.743956372
27085	4.303908494
27091	5.781264812
27093	0
27095	0
27097	0
27099	6.085465403
27101	5.987388295
27105	4.652526752
27107	0
27109	0
27111	0
27113	0
27115	0
27117	5.87938837
27119	0
27123	5.056430045
27127	3.967875446
27129	0
27131	3.604802569
27133	4.596794957
27137	5.494530571
27139	5.087535851
27141	4.408302832
27145	0
27147	0
27149	0
27151	5.612331319
27157	0
27161	0
27163	0
27165	0
27169	0
27171	0
27173	0
28007	0
28009	0
28011	0
28019	3.17818414
28021	0
28027	0
28033	0
28035	0
28039	0
28047	1.481428295
28049	0
28059	0
28061	0
28065	0
28067	0
28069	0
28073	0
28075	0
28077	5.555366841
28083	0
28087	5.770316876
28107	0
28111	5.597052023
28129	0
28147	0
28149	5.200904672
28151	0
28163	0
29001	0
29005	5.642412085
29007	0
29013	0
29015	0
29019	4.107281283
29021	0
29023	0
29027	0
29029	0
29031	0
29033	0
29037	0
29039	0
29041	0
29045	0
29047	0
29051	4.335798783
29053	0
29061	0
29063	5.411843529
29069	0
29071	0
29073	0
29075	5.07773118
29077	4.3628028
29079	0
29081	0
29083	0
29089	0
29095	2.85526044
29097	0
29099	0
29101	0
29107	0
29115	0
29117	0
29121	0
29127	0
29131	0
29137	0
29143	0
29147	5.03666881
29151	0
29163	0
29165	0
29171	0
29173	0
29175	0
29179	0
29183	0
29187	0
29189	0
29195	0
29199	0
29201	0
29205	0
29207	0
29213	0
29217	0
30003	0
30007	0
30009	0
30013	4.323361846
30017	0
30021	0
30025	4.831882566
30029	0
30047	0
30049	0
30051	0
30053	0
30055	0
30057	0
30083	0
30085	0
30087	0
30089	0
30093	0
30095	0
30101	5.630706466
30107	5.617002439
30111	0
31001	0
31015	0
31017	5.265171723
31019	0
31021	0
31023	0
31025	0
31027	0
31033	0
31039	0
31041	0
31049	0
31051	0
31053	0
31055	4.818513423
31061	0
31063	0
31065	0
31067	0
31071	0
31073	0
31077	0
31079	0
31089	0
31091	0
31095	0
31097	0
31101	0
31105	4.429687696
31107	5.304374183
31109	3.366236124
31111	0
31119	0
31127	0
31131	0
31133	3.827950528
31139	0
31141	0
31145	0
31147	0
31151	0
31153	3.753162961
31155	0
31169	0
31173	0
31175	0
31177	0
31179	0
31181	0
31185	0
32001	5.91769452
32003	5.332888338
32011	5.034110845
32013	5.461328918
32015	0
32019	5.062965348
32023	0
32027	2.889861721
32029	3.228913406
32031	5.862449825
32510	0
33001	0
33003	5.197977627
33007	5.161096693
33009	5.400237278
33011	4.229425848
33013	0
33015	5.534341734
33017	4.571371045
33019	5.320845996
34001	4.195373755
34003	3.390051496
34005	0
34007	4.239224378
34009	0
34011	4.60049371
34013	0
34015	3.901512809
34017	0.694605199
34019	0
34021	2.990392139
34023	4.800919129
34025	4.72780143
34029	4.526013564
34031	0
34033	0
34035	0
34037	2.673941999
34039	3.21084802
34041	3.438384107
35001	4.136074605
35007	3.950851459
35009	3.74028372
35013	0
35015	0
35017	0
35019	5.427406579
35023	0
35025	0
35029	0
35031	0
35037	5.946869164
35039	0
35041	5.609097941
35043	3.529430354
35045	0
35047	0
35051	0
35057	5.422202314
35061	0
36001	4.728970286
36003	4.574343847
36005	0
36007	0
36009	0
36011	0
36013	4.656529406
36019	5.747829586
36025	3.459844642
36027	0
36029	4.983215701
36031	5.112300718
36033	5.508724939
36035	3.901349325
36037	0
36039	0
36043	0
36045	4.588484599
36047	0
36049	5.918995412
36053	5.13561917
36055	4.945020272
36059	0
36061	0
36063	5.078438913
36065	0
36067	0
36069	4.655042341
36071	0
36073	0
36075	0
36077	0
36079	0
36081	0
36083	0
36085	0
36087	0
36089	0
36091	0
36095	0
36099	5.145532023
36101	5.412742705
36103	3.675686709
36105	0
36109	0
36111	0
36113	5.100253008
36115	0
36117	0
36119	0
36121	5.84252749
36123	0
37001	0
37003	2.434568904
37007	0
37009	0
37013	0
37017	0
37019	4.740033425
37021	0
37023	0
37025	4.38998073
37027	0
37031	0
37035	4.29666519
37037	0
37039	0
37041	0
37043	0
37045	3.116939647
37047	5.568750268
37049	5.713584037
37051	0
37055	0
37057	3.256717746
37061	5.300358492
37063	4.341038632
37065	3.249699648
37067	4.882077742
37069	0
37071	3.188928484
37075	0
37081	3.239299479
37083	0
37087	5.241833812
37089	0
37095	0
37097	4.374968186
37099	0
37109	0
37113	0
37115	0
37117	5.72873148
37119	2.428134794
37123	0
37129	3.300812794
37135	0
37145	4.698443477
37147	0
37149	0
37153	0
37155	0
37157	0
37159	3.100929598
37161	0
37167	0
37169	0
37173	0
37179	0
37183	3.386498966
37191	2.575187845
37195	0
38003	5.997339632
38009	5.510736647
38011	4.48414318
38015	5.593042262
38017	0
38019	5.845538315
38035	0
38049	4.45771541
38051	5.764362966
38055	0
38057	0
38059	4.011739561
38065	5.448536278
38067	0
38073	4.092966138
38077	0
38091	5.232874186
38093	0
38097	0
38099	0
38101	5.585920725
38105	0
39001	0
39007	0
39011	0
39013	0
39017	0
39023	0
39025	0
39031	5.014800732
39033	0
39035	0
